Tipe Silang,Tgl Beli,No LPB,Sales Beli,Supplier,Nama Barang,Qty Silang,HPP Beli,Tgl Jual,No SJ,Sales Jual,Customer
BC dipakai PF,2026-01-29,KB-LPB-29012026-003,BC,"LOTTE MART GANDARIA CITY","Sunlight 610Ml",150,87000,2026-03-31,SJ-287-31032026-005,PF,"ADRIAN"
BC dipakai PF,2026-01-29,KB-LPB-29012026-003,BC,"LOTTE MART GANDARIA CITY","Sunlight 610Ml",400,87000,2026-03-31,SJ-370-26032026-001,PF,"YAHYA"
BC dipakai PF,2026-01-29,KB-LPB-29012026-003,BC,"LOTTE MART GANDARIA CITY","Sunlight 610Ml",450,87000,2026-03-31,SJ-548-31032026-006,PF,"AGUS MAGELANG"
BC dipakai PF,2026-01-30,KB-LPB-30012026-005,BC,"LOTTE MART GANDARIA CITY","Sunlight 610Ml",50,87000,2026-04-01,SJ-975-01042026-005,PF,"MARZUKI"
BC dipakai PF,2026-03-31,KB-LPB-31032026-001,BC,"HYPERMART PURI INDAH ","Ellips Hair Vitamin Hair Nutri Color Blister (Ungu)",3,655200,2026-04-01,SJ-954-17042026-001,PF,"PT. PUTERA MAKMUR TRADING"
BC dipakai PF,2026-04-01,KB-LPB-20260401-001,BC,"PT MATAHARI PUTRA PRIMA","Ellips Hair Vitamin Hair Nutri Color Blister (Ungu)",3,655200,2026-04-01,SJ-954-17042026-001,PF,"PT. PUTERA MAKMUR TRADING"
BC dipakai PF,2026-04-02,KB-LPB-02042026-003,BC,"HPM EKALOS","Ellips Hair Vitamin Hair Nutri Color Blister (Ungu)",2,655200,2026-04-01,SJ-954-17042026-001,PF,"PT. PUTERA MAKMUR TRADING"
BC dipakai PF,2026-04-06,KB-LPB-06042026-006,BC,"HYPERMART GADING SERPONG","Ellips Hair Vitamin Hair Nutri Color Blister (Ungu)",4,655200,2026-04-01,SJ-954-17042026-001,PF,"PT. PUTERA MAKMUR TRADING"
BC dipakai PF,2026-04-07,KB-LPB-07042026-007,BC,"HYPERMART GADING SERPONG","Ellips Hair Vitamin Hair Nutri Color Blister (Ungu)",1,756000,2026-04-01,SJ-954-17042026-001,PF,"PT. PUTERA MAKMUR TRADING"
BC dipakai PF,2026-04-13,KB-LPB-13042026-004,BC,"Hypermart - Cyberpark Karawaci LKU","Ellips Hair Vitamin Hair Nutri Color Blister (Ungu)",5,655200,2026-04-01,SJ-954-17042026-001,PF,"PT. PUTERA MAKMUR TRADING"
BC dipakai PF,2026-04-13,KB-LPB-13042026-001,BC," HYPERMART VILLA MELATI ","Ellips Hair Vitamin Hair Nutri Color Blister (Ungu)",2,655200,2026-04-01,SJ-954-17042026-001,PF,"PT. PUTERA MAKMUR TRADING"
BC dipakai PF,2026-04-14,KB-LPB-14042026-001,BC,"HYPERMART GOURMENT","Ellips Hair Vitamin Hair Nutri Color Blister (Ungu)",2,655200,2026-04-01,SJ-954-17042026-001,PF,"PT. PUTERA MAKMUR TRADING"
BC dipakai PF,2026-04-20,KB-LPB-20042026-002,BC,"Hypermart - Supermal Karawaci","Ellips Hair Vitamin Hair Nutri Color Blister (Ungu)",4,655200,2026-04-01,SJ-954-17042026-001,PF,"PT. PUTERA MAKMUR TRADING"
BC dipakai PF,2026-05-01,KB-LPB-16052026-003,BC," HYPERMART VILLA MELATI ","Ellips Hair Vitamin Hair Nutri Color Blister (Ungu)",2,655200,2026-04-01,SJ-954-17042026-001,PF,"PT. PUTERA MAKMUR TRADING"
BC dipakai PF,2026-05-04,KB-LPB-04052026-001,BC,"HYPERMART DAAN MOGOT","Ellips Hair Vitamin Hair Nutri Color Blister (Ungu)",2,655200,2026-04-01,SJ-954-17042026-001,PF,"PT. PUTERA MAKMUR TRADING"
