No,Kategori Barang,Merek Barang,Kode Barang,Nama Barang,UPC/Barcode,Satuan,Stock,,,,,,,,,,,,,,,,,,,
29,Home Care,Attack,HOMATTACK-029,Attack Plus Softener Liquid 1200 Ml X6,8992727007603,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
30,Home Care,Attack,HOMATTACK-030,Attack Softener 1200Grx8,8992727005487,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
31,Home Care,Attack,HOMATTACK-031,Attack Softener 12X750Gr,8992727002479,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
32,Home Care,Baygon,HOMBAYGON-032,Baygon Coil Standart Green 8Hrs,8998899001500,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
33,Home Care,Baygon,HOMBAYGON-033,Baygon Flower 675Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
34,Beverage,Bear,BEVBEAR-034,Bear Brand 189Ml,8992696404441,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
35,Food,Bejo,FOOBEJO-035,Bejo 12X30Pack,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
36,Food,Big,FOOBIG-036,Big Cola 6X3000Ml,8997025060022,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
37,Food,Big,FOOBIG-037,Big Lemon Flavor 6X3000Ml,8997025060114,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
38,Food,Big,FOOBIG-038,Big Strawberry Flavor 6X3000Ml,8997025060053,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
39,Personal Care,Biore,PERBIORE-039,Biore Facial Foam Acne Bactrior 100Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
40,Personal Care,Biore,PERBIORE-040,Biore Facial Foam Acne Bright Care 100Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
41,Personal Care,Biore,PERBIORE-041,Biore Facial Foam Bright Energy 100Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
42,Personal Care,Biore,PERBIORE-042,Biore Facial Foam Bright Expert 100Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
43,Personal Care,Biore,PERBIORE-043,Biore Facial Foam Bright Oil 100Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
44,Personal Care,Biore,PERBIORE-044,Biore Facial Foam Cool Oil 100Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
45,Personal Care,Biore,PERBIORE-045,Biore Facial Foam Deep Pore 100Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
46,Personal Care,Biore,PERBIORE-046,Biore Facial Foam Oil Balance 100Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
47,Food,Blue,FOOBLUE-047,Blue Band Serbaguna 200G,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
48,Food,Bye,FOOBYE-048,Bye Bye Fever Baby,68057869,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
49,Food,Bye,FOOBYE-049,Bye Bye Fever Kids,68057878,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
50,Food,Calbee,FOOCALBEE-050,Calbee Wings Snack Guribee Layers Cheese 30X65Gr,8998866203838,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
52,Food,Casablanca,FOOCASABLANCA-052,Casablanca Body Mist Abu Abu 100Ml,8992832602168,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
53,Food,Casablanca,FOOCASABLANCA-053,Casablanca Body Mist Biru 100Ml,8992832601161,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
54,Food,Casablanca,FOOCASABLANCA-054,Casablanca Body Mist Biru Tua 100Ml,8992832602137,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
55,Food,Casablanca,FOOCASABLANCA-055,Casablanca Body Mist Hijau Tua 100Ml,8992832602731,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
56,Food,Casablanca,FOOCASABLANCA-056,Casablanca Body Mist Kuning 100Ml,8992832601208,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
57,Food,Casablanca,FOOCASABLANCA-057,Casablanca Body Mist Merah 100Ml,8992832602144,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
58,Food,Casablanca,FOOCASABLANCA-058,Casablanca Body Mist Orange 100Ml,8992832601215,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
59,Food,Casablanca,FOOCASABLANCA-059,Casablanca Body Mist Pink 100Ml,8992832601185,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
60,Food,Casablanca,FOOCASABLANCA-060,Casablanca Body Mist Ungu 100Ml,8992832601192,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
61,Food,Casablanca,FOOCASABLANCA-061,Casablanca Halal Mist Night 100Ml,8992832606340,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
62,Food,Chitato,FOOCHITATO-062,Chitato Beef Bbq 35Gr,89686598025,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
63,Food,Chitato,FOOCHITATO-063,Chitato Indomie Goreng 65Gr,89686599008,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
64,Food,Chitato,FOOCHITATO-064,Chitato Lite Chicken Onion 68Gr,89686732108,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
65,Food,Chitato,FOOCHITATO-065,Chitato Lite Snack Potato Nori 68Gr,89686732030,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
66,Food,Chitato,FOOCHITATO-066,Chitato Snack Beef Barbeque 65Gr,89686598056,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
67,Food,Chitato,FOOCHITATO-067,Chitato Snack Cheese Supreme 65Gr,89686598957,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
68,Food,Chitato,FOOCHITATO-068,Chitato Snack Original 65Gr,89686598353,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
69,Food,Chitato,FOOCHITATO-069,Chitato Snack Potato Chips Bbq 65Gr,8968698056,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
70,Food,Chitato,FOOCHITATO-070,Chitato Snack Spicy Chicken 65Gr,89686598476,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
71,Food,Chitato,FOOCHITATO-071,Chitato Snack Spicy Grilled Beef 65Gr,89686598599,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
72,Beverage,Chocolatos,BEVCHOCOLATOS-072,Chocolatos Chocolate Drink 27Gra,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
73,Beverage,Chocolatos,BEVCHOCOLATOS-073,Chocolatos Drink Creamy Chocolate 24Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
74,Beverage,Chocolatos,BEVCHOCOLATOS-074,Chocolatos Matcha Drink 24Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
75,Food,Cincau,FOOCINCAU-075,Cincau Cap Panda 310Ml,8995227500582,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
76,Food,Citra,FOOCITRA-076,Citra Hbl Bengkoang Perfect Uv 380Ml,8999999605902,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
77,Food,Citra,FOOCITRA-077,Citra Hbl Nourish Moist Uv 210Ml,8999999036720,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
78,Food,Citra,FOOCITRA-078,Citra Hbl Pearly Radiant Uv 210Ml,8999999036713,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
79,Food,Citra,FOOCITRA-079,Citra Hbl Pearly Radiant Uv 380Ml,8999999036744,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
80,Personal Care,Close,PERCLOSE-080,Close Up Toothpaste Menthol (Green) 160Gr,8999999707859,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
81,Beverage,Coca,BEVCOCA-081,Coca Cola Soft Drink (12 Bottles X 250 Ml),8992761145019,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
82,Beverage,Coca,BEVCOCA-082,Coca Cola Soft Drink (24 Cans X 250 Ml),8992761111519,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
83,Beverage,Coca,BEVCOCA-083,Coca Cola Zero Soft Drink (24 Cans X 250 Ml),8992761111588,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
84,Personal Care,Colgate,PERCOLGATE-084,Colgate Toothpaste Fresh Cool Mint 180Gr,6920354815546,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
85,Personal Care,Colgate,PERCOLGATE-085,Colgate Toothpaste Great Regular 180Gr,6920354815522,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
86,Home Care,Daia,HOMDAIA-086,Daia Powder Detergent Floral Blossom 245Grx24,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
87,Home Care,Daia,HOMDAIA-087,Daia Powder Detergent Floral Blossom 800Grx12,8998866601436,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
88,Home Care,Daia,HOMDAIA-088,Daia Powder Detergent Lemon/Fruity 245Grx24,8998866604963,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
89,Home Care,Daia,HOMDAIA-089,Daia Powder Detergent Lemon/Fruity Bag 800Grx12,8998866604932,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
90,Home Care,Daia,HOMDAIA-090,Daia Powder Detergent Powder Flower 12 X 470Gr,8998866609036,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
91,Home Care,Daia,HOMDAIA-091,Daia Powder Detergent Powder Fresh Lemon 12 X 470Gr,8998866609050,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
92,Home Care,Daia,HOMDAIA-092,Daia Powder Detergent Powder Softener Romantic 12 X 470Gr,8998866609043,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
93,Home Care,Daia,HOMDAIA-093,Daia Powder Detergent Powder Violet 12 X 470Gr,8998866610278,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
94,Home Care,Daia,HOMDAIA-094,Daia Powder Detergent Powder White 12 X 470Gr,8998866609029,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
95,Home Care,Daia,HOMDAIA-095,Daia Powder Detergent Romantic Pink 245Grx24,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
96,Home Care,Daia,HOMDAIA-096,Daia Powder Detergent Romantic Pink Bag 800Grx12,8998866608725,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
97,Home Care,Daia,HOMDAIA-097,Daia Powder Detergent Violet Bag 245Grx24,8998866610261,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
98,Home Care,Daia,HOMDAIA-098,Daia Powder Detergent Violet Passion Bag 800Grx12,8998866610223,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
99,Home Care,Daia,HOMDAIA-099,Daia Powder Detergent White 245Grx24,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
100,Home Care,Daia,HOMDAIA-100,Daia Powder Detergent White 800Grx12,8998866607353,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
101,Personal Care,Darlie,PERDARLIE-101,Darlie Kids Cola 40Gr,4891338014052,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
102,Personal Care,Darlie,PERDARLIE-102,Darlie Pg Double Action 225Gr,4891338007962,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
103,Personal Care,Darlie,PERDARLIE-103,Darlie Pg Double Action Mint 120Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
104,Personal Care,Darlie,PERDARLIE-104,Darlie Pg Double Action Mint 75Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
105,Personal Care,Darlie,PERDARLIE-105,Darlie Toothpaste Double Action Fresh & Clean 2S 450Gr (2S X 225Gr),8888047853351,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
106,Food,Dettol,FOODETTOL-106,Dettol Body Wash Cool 12X500Gr,9556111609010,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
107,Food,Dettol,FOODETTOL-107,Dettol Body Wash Fresh 12X500Gr,9556111621029,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
108,Food,Dettol,FOODETTOL-108,Dettol Body Wash Original ,8888071610036,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
