No,Kategori Barang,Merek Barang,Kode Barang,Nama Barang,UPC/Barcode,Satuan,Stock,,,,,,,,,,,,,,,,,,,
164,Food,Ellips,FOOELLIPS-164,Ellips Hv Mrc Shiny Black Blr 72X6Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
165,Food,Ellips,FOOELLIPS-165,Ellips Hv Mrc Shiny Black Jar 12X50Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
166,Food,Ellips,FOOELLIPS-166,Ellips Hv Mrc Smooth Shiny Jar 12X50Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
167,Food,Ellips,FOOELLIPS-167,Ellips Hv Mrc Smth Shiny Blr 72X6Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
168,Food,Emeron,FOOEMERON-168,Emeron Shampo Black Shine 12X170Ml,8998866100564,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
169,Food,Emeron,FOOEMERON-169,Emeron Shampo Dandruff Control 170Ml,8998866103121,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
170,Food,Emeron,FOOEMERON-170,Emeron Shampo Dandruff Control 340Ml,8998866106252,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
171,Food,Emeron,FOOEMERON-171,Emeron Shampo Hair Fall Control 170Ml,8998866100601,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
172,Food,Emeron,FOOEMERON-172,Emeron Shampo Hair Fall Control 340Ml,8998866106221,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
173,Food,Emeron,FOOEMERON-173,Emeron Shampo Hijab Anti Dandruff 340Ml,8998866108348,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
174,Food,Emeron,FOOEMERON-174,Emeron Shampo Hijab Clean& Fresh 340Ml,8998866108355,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
175,Food,Emeron,FOOEMERON-175,Emeron Shampo Hijab Nutritive 170Ml,8998866107990,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
176,Food,Emeron,FOOEMERON-176,Emeron Shampo Soft & Smooth 170Ml,8998866100649,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
177,Food,Emeron,FOOEMERON-177,Emeron Shampo Soft & Smooth 340Ml,8998866106245,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
178,Personal Care,Emeron,PEREMERON-178,Emeron Shampoo Black Shine 340Ml,8998866106214,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
179,Personal Care,Emeron,PEREMERON-179,Emeron Shampoo Hijab Anti Hair Fall 340Ml,8998866109284,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
180,Personal Care,Emeron,PEREMERON-180,Emeron Shampoo Hijab Antidandruff 170Ml,8998866108300,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
181,Food,Esk,FOOESK-181,Esk Cg Amusing Vanilla 100Ml Btl,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
182,Food,Esk,FOOESK-182,Esk Cg Glamorous Red 100Ml Btl,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
183,Food,Esk,FOOESK-183,Esk Kids Shm Cinder Btl 36X200Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
184,Food,Esk,FOOESK-184,Esk Kids Shm Minnie Btl 36X200Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
185,Food,Eskulin,FOOESKULIN-185,Eskulin Hjb B.Mist Pink Blossom Btl 36X125Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
186,Beverage,Fanta,BEVFANTA-186,Fanta Strawberry Soft Drink (12 Bottles X 250 Ml),8992761145033,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
187,Beverage,Fanta,BEVFANTA-187,Fanta Strawberry Soft Drink (24 Cans X 250 Ml),8992761111540,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
188,Food,Far,FOOFAR-188,Far N Lovely,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
189,Food,Filma,FOOFILMA-189,Filma Margarin 200Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
190,Food,Finna,FOOFINNA-190,Finna Uleg Sauce Green Chili 190Gr,15468322,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
191,Food,Finna,FOOFINNA-191,Finna Uleg Sauce Kemiri (Candlenut) Flavour 180Gr,8991818800901,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
192,Food,Finna,FOOFINNA-192,Finna Uleg Sauce Rawit 190Gr,72546900,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
193,Food,Forvita,FOOFORVITA-193,Forvita Margarine 200Gr,8992946520587,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
194,Food,Freshcare,FOOFRESHCARE-194,Freshcare Minyak Angin Aromatherapy Hot,8997021870151,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
195,Food,Freshcare,FOOFRESHCARE-195,Freshcare Minyak Angin Teraphy 10Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
196,Food,Freshcare,FOOFRESHCARE-196,Freshcare Minyak Angin Teraphy Kayu Putih 10Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
197,Food,Garnier,FOOGARNIER-197,Garnier Bright Comp Whip Foam 100Ml,8994993009015,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
198,Food,Garnier,FOOGARNIER-198,Garnier Bright Complete Serum Cleanser 100Ml,8994993026791,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
199,Food,Garnier,FOOGARNIER-199,Garnier Lc Dark Spot Serum 30Ml,8994993011377,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
200,Food,Garnier,FOOGARNIER-200,Garnier Lc Uv Matte 30Ml As,8994993011322,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
201,Food,Garnier,FOOGARNIER-201,Garnier Light Brightening Scrub Wash 100Gr,8991380700609,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
202,Food,Garnier,FOOGARNIER-202,Garnier Light Brightening Scrub Wash 50Gr,8991380700593,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
203,Food,Garnier,FOOGARNIER-203,Garnier Light Complete Night Yoghurt 50Ml,8992304094774,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
204,Food,Garnier,FOOGARNIER-204,Garnier Light Complete White Speed Serum 50Ml (Jar),8992304054419,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
205,Food,Garnier,FOOGARNIER-205,Garnier Light Gentle Clarifying Foam 100Ml,8991380700029,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
206,Food,Garnier,FOOGARNIER-206,Garnier Light Gentle Clarifying Foam 50Ml,8991380700036,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
207,Food,Garnier,FOOGARNIER-207,Garnier Men Acno Fight 2In1 Foam 50Ml,8992304016967,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
208,Food,Garnier,FOOGARNIER-208,Garnier Men Acno Fight Anti Acne Scrub In Foam 100Ml X 12,8992304015298,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
209,Food,Garnier,FOOGARNIER-209,Garnier Men Acno Fight Wasabi Foam 100Ml,8992304039614,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
210,Food,Garnier,FOOGARNIER-210,Garnier Men Power White Super Duo Foam 100Ml X 12,8992304047435,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
211,Food,Garnier,FOOGARNIER-211,Garnier Men Tl Oil Control Foam 50Ml,8992304009143,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
212,Food,Garnier,FOOGARNIER-212,Garnier Men Tl Oil Control Scrub 50Ml,8992304009181,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
213,Food,Garnier,FOOGARNIER-213,Garnier Men Tloc Intensive 3In1 Foam 50Ml,8994993001378,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
214,Food,Garnier,FOOGARNIER-214,Garnier Men Tloc White Icy Duo Foam 100Ml,8992304047428,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
215,Food,Garnier,FOOGARNIER-215,Garnier Men Total Oil Control Intensive 3In1 100Ml,8994993001323,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
216,Food,Garnier,FOOGARNIER-216,Garnier Men Turbo Light Oil Control Brightening Cooling Foam 100Ml X 12,8992304009167,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
217,Food,Garnier,FOOGARNIER-217,Garnier Men Turbo Light Oil Control Brightening Icy Scrub 100Ml,8992304009204,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
218,Food,Garnier,FOOGARNIER-218,Garnier Pure Active Matcha Foam 100Ml,8992304082221,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
219,Food,Garnier,FOOGARNIER-219,Garnier Pure Active Multi-Action Foam 100Ml,8992304019524,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
220,Food,Garnier,FOOGARNIER-220,Garnier Sakura Glow Foam 100Ml,8992304047152,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
221,Food,Garnier,FOOGARNIER-221,Garnier Sakura Hyaluron Serum 30Ml,8994993010721,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
222,Food,Garnier,FOOGARNIER-222,Garnier Sakura White Wf 100Ml,8994993009534,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
223,Food,Garuda,FOOGARUDA-223,Garuda Skippy Peanut Butter Mini Ball Snacks,8992775006023,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
224,Personal Care,Gatsby,PERGATSBY-224,Gatsby Cooling Face Wash Speedy Oil Foam 110Ml X 2 X 12,8992222056618,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
225,Personal Care,Gatsby,PERGATSBY-225,Gatsby Deodorant Nature Perfume Body Spray Calm Wood ,8992222057165,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
226,Personal Care,Gatsby,PERGATSBY-226,Gatsby Deodorant Nature Perfume Body Spray Cool Fougere 150 Ml X 4 X 12,8992222057158,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
227,Personal Care,Gatsby,PERGATSBY-227,Gatsby Deodorant Nature Perfume Body Spray Premium Tonka 150 Ml X 4 X 12,8992222057141,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
228,Personal Care,Gatsby,PERGATSBY-228,Gatsby Deodorant Nature Perfume Body Spray Relax Musk 150 Ml X 4 X 12,8992222057172,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
229,Personal Care,Gatsby,PERGATSBY-229,Gatsby Eau De Blue Deo Roll On Air Code 48X50Ml,8992222056809,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
230,Personal Care,Gatsby,PERGATSBY-230,Gatsby Eau De Blue Deo Roll On Earth Code 48X50Ml,8992222056793,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
231,Personal Care,Gatsby,PERGATSBY-231,Gatsby Eau De Blue Deo Roll On Skyline Code 48X50Ml,8992222056786,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
232,Personal Care,Gatsby,PERGATSBY-232,Gatsby Eau De Blue Eau De Parfum Air Code 48X100Ml,8992222056779,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
233,Personal Care,Gatsby,PERGATSBY-233,Gatsby Eau De Blue Eau De Parfum Earth Code 48X100Ml,8992222056762,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
234,Personal Care,Gatsby,PERGATSBY-234,Gatsby Eau De Blue Eau De Parfum Skyline Code 48X100Ml,8992222056755,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
235,Personal Care,Gatsby,PERGATSBY-235,Gatsby Eau De Bold Deodorant Roll On Moon Code 50 Mlx48,8992222057097,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
236,Personal Care,Gatsby,PERGATSBY-236,Gatsby Eau De Bold Deodorant Roll On Space Code 50 Mlx48,8992222057073,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
237,Personal Care,Gatsby,PERGATSBY-237,Gatsby Eau De Bold Deodorant Roll On Star Code 50 Mlx48,8992222057080,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
238,Personal Care,Gatsby,PERGATSBY-238,Gatsby Eau De Bold Eau De Parfum Moon Code 100Mlx48,8992222057066,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
239,Personal Care,Gatsby,PERGATSBY-239,Gatsby Eau De Bold Eau De Parfum Space Code 100Mlx48,8992222057042,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
240,Personal Care,Gatsby,PERGATSBY-240,Gatsby Eau De Bold Eau De Parfum Star Code 100Mlx48,8992222057059,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
241,Personal Care,Gatsby,PERGATSBY-241,Gatsby Facewash Clear Whitening 100Grx36,8992222054553,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
242,Personal Care,Gatsby,PERGATSBY-242,Gatsby Facewash Oil Control 100Grx36,8992222054539,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
243,Personal Care,Gatsby,PERGATSBY-243,Gatsby Facewash Perfect Clean 100Grx36,8992222054515,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
244,Personal Care,Gatsby,PERGATSBY-244,Gatsby Facewash Skin Triple Protection 100Grx36,8992222056595,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
245,Personal Care,Gatsby,PERGATSBY-245,Gatsby Fiber Clay 80G X 4 X 12,8992222057264,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
246,Personal Care,Gatsby,PERGATSBY-246,Gatsby Fiber Pomade 80G X 4 X 12,8992222057257,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
247,Personal Care,Gatsby,PERGATSBY-247,Gatsby Harmonic Cologne At The Sea 100 Ml X 4 X 12,8992222057240,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
248,Personal Care,Gatsby,PERGATSBY-248,Gatsby Harmonic Cologne In The Fest 100 Ml X 4 X 12,8992222057233,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
249,Personal Care,Gatsby,PERGATSBY-249,Gatsby Harmonic Cologne In The Lounge 100 Ml X 4 X 12,8992222057226,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
250,Personal Care,Gatsby,PERGATSBY-250,Gatsby Prime Body Perfume Spray Dark Leather 100 Ml X 6 X 12,8992222057103,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
251,Personal Care,Gatsby,PERGATSBY-251,Gatsby Prime Body Perfume Spray Luxe Amber 100 Ml X 6 X 12,8992222057127,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
252,Personal Care,Gatsby,PERGATSBY-252,Gatsby Prime Body Perfume Spray Ocean Ice 100 Ml X 6 X 12,8992222057134,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
253,Personal Care,Gatsby,PERGATSBY-253,Gatsby Prime Body Perfume Spray Velvet Rouge 100 Ml X 6 X 12,8992222057110,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
254,Personal Care,Gatsby,PERGATSBY-254,Gatsby Roll On Deodorant Fresh Marine 72X50Ml,8992222054010,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
255,Personal Care,Gatsby,PERGATSBY-255,Gatsby Spray Pomade Quick & Grease 150Mlx48,8998866106214,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
256,Personal Care,Gatsby,PERGATSBY-256,Gatsby Spray Pomade Quick & Volume 150Mlx48,8992222056717,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
257,Personal Care,Gatsby,PERGATSBY-257,Gatsby Styling Pomade 75G (Perfect Rise) 4 X 12 X 75G,8992222055482,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
258,Personal Care,Gatsby,PERGATSBY-258,Gatsby Styling Pomade Matte Moulder 96X30Gr,8992222055864,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
259,Personal Care,Gatsby,PERGATSBY-259,Gatsby Styling Pomade Supreme Grease 80Grx48,8992222054492,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
260,Personal Care,Gatsby,PERGATSBY-260,Gatsby Styling Pomade Supreme Hold (48X75Gr),8992222054980,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
261,Personal Care,Gatsby,PERGATSBY-261,Gatsby Styling Wax - Extreme Volume 216X25Gr,8992222056038,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
262,Personal Care,Gatsby,PERGATSBY-262,Gatsby Styling Wax (Extreme & Volume) 8 X 12 X 75G,8992222056045,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
263,Personal Care,Gatsby,PERGATSBY-263,Gatsby Styling Wax Hard And Free 25 Gr X 216,8992222051750,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
264,Personal Care,Gatsby,PERGATSBY-264,Gatsby Styling Wax Hard&Free (Blue) 96X75Gr,8992222051606,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
265,Personal Care,Gatsby,PERGATSBY-265,Gatsby Styling Wax Mat & Hard 25Gr X 216,8992222051767,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
266,Personal Care,Gatsby,PERGATSBY-266,Gatsby Styling Wax Mat&Hard (Black) 96X75Gr,8992222051613,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
267,Personal Care,Gatsby,PERGATSBY-267,Gatsby Styling Wax Power&Spike (Red) 216X25Gr,8992222051736,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
268,Personal Care,Gatsby,PERGATSBY-268,Gatsby Styling Wax Power&Spike (Red) 96X75Gr,8992222051729,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
269,Personal Care,Gatsby,PERGATSBY-269,Gatsby T-Hair Cream Normal 36X250Gr,8992222050265,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
270,Personal Care,Gatsby,PERGATSBY-270,Gatsby T-Hair Cream Normal 48X120Gr,8992222050258,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
271,Personal Care,Gatsby,PERGATSBY-271,Gatsby T-Hair Cream Normal 96X70Gr,8992222050241,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
272,Personal Care,Gatsby,PERGATSBY-272,Gatsby T-Hair Cream-Anti Dandruff 96Pcsx70Gr,8992222050616,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
273,Personal Care,Gatsby,PERGATSBY-273,Gatsby T-Hair Cream-Normal 216Pcsx28Gr,8992222050418,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
274,Personal Care,Gatsby,PERGATSBY-274,Gatsby T-Hair Cream-Normal 36Pcsx250Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
275,Personal Care,Gatsby,PERGATSBY-275,Gatsby T-Haircream Antidandruff 216Pcsx28Gr,8992222050609,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
276,Personal Care,Gatsby,PERGATSBY-276,Gatsby The Nature Styling Balm Cream 75 G X 8 X 12,8992222056892,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
277,Personal Care,Gatsby,PERGATSBY-277,Gatsby The Nature Styling Balm Pomade 70 G X 8 X 12,8992222056885,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
278,Personal Care,Gatsby,PERGATSBY-278,Gatsby Urban Cologne Attractive 48X125Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
279,Personal Care,Gatsby,PERGATSBY-279,Gatsby Urban Cologne Confidence 48X125Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
280,Personal Care,Gatsby,PERGATSBY-280,Gatsby Urban Cologne Dignity 48X125Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
281,Personal Care,Gatsby,PERGATSBY-281,Gatsby Urban Cologne Energy 48X125Ml,8992222053426,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
282,Personal Care,Gatsby,PERGATSBY-282,Gatsby Urban Cologne Intention 48X125Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
283,Personal Care,Gatsby,PERGATSBY-283,Gatsby Urvibe Cologne #Atethat 115 Ml X 4 X 12,8992222057592,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
284,Personal Care,Gatsby,PERGATSBY-284,Gatsby Urvibe Cologne #Bop 115 Ml X 4 X 12,8992222057578,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
285,Personal Care,Gatsby,PERGATSBY-285,Gatsby Urvibe Cologne #G.O.A.T 115 Ml X 4 X 12,8992222057561,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
286,Personal Care,Gatsby,PERGATSBY-286,Gatsby Urvibe Cologne #Rizzler 115 Ml X 4 X 12,8992222057585,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
287,Personal Care,Gatsby,PERGATSBY-287,Gatsby Water Gloss Hard 100 Gr X 24,8992222050135,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
288,Personal Care,Gatsby,PERGATSBY-288,Gatsby Water Gloss Hard 24X100Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
289,Personal Care,Gatsby,PERGATSBY-289,Gatsby Water Gloss Hard 48X150Gr,8992222050104,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
290,Personal Care,Gatsby,PERGATSBY-290,Gatsby Water Gloss Hard 96X75Gr,8992222050142,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
291,Personal Care,Gatsby,PERGATSBY-291,Gatsby Water Gloss Hyper Solid 100 Gr X 24,8992222053006,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
292,Personal Care,Gatsby,PERGATSBY-292,Gatsby Water Gloss Hyper Solid 216X30Gr,8992222052979,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
293,Personal Care,Gatsby,PERGATSBY-293,Gatsby Water Gloss Hyper Solid 24X100Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
294,Personal Care,Gatsby,PERGATSBY-294,Gatsby Water Gloss Hyper Solid 36X300Gr,8992222053020,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
295,Personal Care,Gatsby,PERGATSBY-295,Gatsby Water Gloss Hyper Solid 48X150Gr,8992222053013,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
296,Personal Care,Gatsby,PERGATSBY-296,Gatsby Water Gloss Hyper Solid 96X75Gr,8992222052993,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
297,Personal Care,Gatsby,PERGATSBY-297,Gatsby Water Gloss Soft ,8992222050074,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
298,Personal Care,Gatsby,PERGATSBY-298,Gatsby Water Gloss Soft 100 Gr X 24,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
299,Personal Care,Gatsby,PERGATSBY-299,Gatsby Water Gloss Soft 24X100Gr,8992222050043,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
300,Personal Care,Gatsby,PERGATSBY-300,Gatsby Water Gloss Soft 48X150Gr,8992222050098,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
301,Personal Care,Gatsby,PERGATSBY-301,Gatsby Water Gloss Super Hard 100 Gr X 24,8992222050180,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
302,Personal Care,Gatsby,PERGATSBY-302,Gatsby Water Gloss Super Hard 150Grx48,8992222050159,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
303,Personal Care,Gatsby,PERGATSBY-303,Gatsby Water Gloss Super Hard 216X30Gr,8992222050401,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
304,Personal Care,Gatsby,PERGATSBY-304,Gatsby Water Gloss Super Hard 24X100Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
305,Personal Care,Gatsby,PERGATSBY-305,Gatsby Water Gloss Super Hard 96X75Gr,8992222050203,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
306,Personal Care,Gatsby,PERGATSBY-306,Gatsby Water Gloss Ultimate Hold <Tube> 24X100Gr,8992222055239,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
307,Personal Care,Gatsby,PERGATSBY-307,Gatsby Water Gloss Ultimate Hold <Tube> 48X150Gr,8992222055246,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
308,Personal Care,Gatsby,PERGATSBY-308,Gatsby Water Gloss Ultimate Hold 75Grx96,8992222055222,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
309,Food,Gery,FOOGERY-309,Gery Saluut Malkiist Chocolate - 30 Bag,8992775315057,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
310,Food,Gery,FOOGERY-310,Gery Saluut Malkist Cheese - 30 Bag,8992775315095,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
311,Personal Care,Giv,PERGIV-311,Giv Bar Soap Bengkuang 72Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
312,Personal Care,Giv,PERGIV-312,Giv Bar Soap Biru 72Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
313,Personal Care,Giv,PERGIV-313,Giv Bar Soap Merah 72Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
314,Personal Care,Giv,PERGIV-314,Giv Bar Soap Papaya 72Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
315,Food,Glade,FOOGLADE-315,Glade 2 In 1 Lavender 350Ml,8992779139406,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
316,Food,Glade,FOOGLADE-316,Glade Car Fresh Wild Berries Refill 70Gr,8992779154904,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
317,Food,Glade,FOOGLADE-317,Glade Spa Airfreshner Elegant Vanilla & Oud Wood 225Ml,8992779071201,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
318,Food,Good,FOOGOOD-318,Good Day Cappucino 25Gr,8991002103771,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
319,Food,Good,FOOGOOD-319,Good Day Coffeemix Original 20Gr X 12 X 30,8991002103542,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
320,Food,Good,FOOGOOD-320,Good Day Freeze Mocafrio 30Gr,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
321,Food,Good,FOOGOOD-321,Good Day Latte Butterscotch,8991002143067,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
322,Food,Good,FOOGOOD-322,Good Day Latte Original,8991002143043,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
323,Personal Care,Harmony,PERHARMONY-323,Harmony Soap Grape 70Gr,8993379200862,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
324,Personal Care,Harmony,PERHARMONY-324,Harmony Soap Lemon 70Gr,8993379241858,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
325,Personal Care,Harmony,PERHARMONY-325,Harmony Soap Melon 70Gr,8993379200879,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
